timestamp,elapsed_s,z
12:48:29.344,0.4992,0.06
12:48:29.344,0.4994,0.07
12:48:29.344,0.4997,0.06
12:48:29.344,0.4999,0.07
12:48:29.345,0.5001,0.06
12:48:29.345,0.5002,0.05
12:48:29.345,0.5004,0.06
12:48:29.345,0.5005,0.06
12:48:29.345,0.5007,0.06
12:48:29.345,0.5009,0.05
12:48:29.345,0.5010,0.06
12:48:29.346,0.5011,0.06
12:48:29.346,0.5012,0.07
12:48:29.346,0.5014,0.05
12:48:29.346,0.5015,0.06
12:48:29.346,0.5016,0.04
12:48:29.346,0.5017,0.07
12:48:29.346,0.5018,0.06
12:48:29.346,0.5019,0.06
12:48:29.347,0.5020,0.07
12:48:29.347,0.5022,0.05
12:48:29.347,0.5023,0.06
12:48:29.347,0.5024,0.06
12:48:29.347,0.5025,0.05
12:48:29.347,0.5026,0.06
12:48:29.347,0.5027,0.07
12:48:29.347,0.5029,0.04
12:48:29.347,0.5030,0.07
12:48:29.347,0.5031,0.06
12:48:29.347,0.5032,0.07
12:48:29.347,0.5033,0.05
12:48:29.347,0.5034,0.03
12:48:29.349,0.5036,0.06
12:48:29.349,0.5037,0.11
12:48:29.349,0.5038,0.06
12:48:29.349,0.5039,0.02
12:48:29.349,0.5040,0.04
12:48:29.349,0.5041,0.06
12:48:29.349,0.5044,0.04
12:48:29.350,0.5047,0.04
12:48:29.350,0.5050,0.07
12:48:29.350,0.5053,0.06
12:48:29.350,0.5054,0.05
12:48:29.350,0.5056,0.06
12:48:29.350,0.5057,0.07
12:48:29.609,0.7642,0.06
12:48:29.610,0.7644,0.05
12:48:29.610,0.7646,0.05
12:48:29.610,0.7648,0.06
12:48:29.610,0.7650,0.05
12:48:29.610,0.7652,0.06
12:48:29.611,0.7653,0.05
12:48:29.611,0.7656,0.06
12:48:29.611,0.7657,0.06
12:48:29.611,0.7658,0.06
12:48:29.611,0.7660,0.05
12:48:29.611,0.7661,0.05
12:48:29.611,0.7662,0.06
12:48:29.612,0.7664,0.07
12:48:29.612,0.7665,0.06
12:48:29.612,0.7666,0.06
12:48:29.612,0.7668,0.06
12:48:29.612,0.7670,0.06
12:48:29.612,0.7671,0.06
12:48:29.612,0.7672,0.05
12:48:29.612,0.7674,0.05
12:48:29.612,0.7675,0.06
12:48:29.612,0.7676,0.06
12:48:29.674,0.8298,0.06
12:48:29.674,0.8299,0.06
12:48:29.675,0.8301,0.06
12:48:29.675,0.8303,0.06
12:48:29.676,0.8304,0.06
12:48:29.676,0.8306,0.07
12:48:29.702,0.8572,0.06
12:48:29.703,0.8574,0.05
12:48:29.735,0.8902,0.06
12:48:29.735,0.8904,0.06
12:48:29.735,0.8905,0.06
12:48:29.801,0.9569,0.05
12:48:29.801,0.9572,0.05
12:48:29.801,0.9573,0.05
12:48:29.801,0.9575,0.06
12:48:29.801,0.9577,0.06
12:48:29.801,0.9578,0.06
12:48:29.809,0.9645,0.07
12:48:29.850,1.0064,0.06
12:48:29.850,1.0066,0.07
12:48:29.850,1.0067,0.06
12:48:29.894,1.0507,0.06
12:48:29.894,1.0510,0.06
12:48:29.894,1.0512,0.06
12:48:29.894,1.0514,0.06
12:48:29.945,1.1001,0.05
12:48:29.945,1.1004,0.06
12:48:29.945,1.1006,0.05
12:48:29.945,1.1007,0.06
12:48:29.946,1.1009,0.05
12:48:29.957,1.1119,0.06
12:48:30.000,1.1575,0.06
12:48:30.000,1.1577,0.06
12:48:30.000,1.1578,0.06
12:48:30.000,1.1579,0.06
12:48:30.039,1.1946,0.06
12:48:30.039,1.1948,0.07
12:48:30.039,1.1949,0.06
12:48:30.074,1.2315,0.05
12:48:30.074,1.2318,0.06
12:48:30.074,1.2319,0.07
12:48:30.117,1.2727,0.06
12:48:30.117,1.2729,0.06
12:48:30.117,1.2731,0.06
12:48:30.117,1.2732,0.05
12:48:30.156,1.3114,0.06
12:48:30.156,1.3116,0.07
12:48:30.156,1.3118,0.06
12:48:30.157,1.3120,0.05
12:48:30.194,1.3489,0.06
12:48:30.194,1.3491,0.05
12:48:30.194,1.3492,0.06
12:48:30.234,1.3885,0.05
12:48:30.234,1.3887,0.06
12:48:30.234,1.3889,0.06
12:48:30.272,1.4275,0.06
12:48:30.272,1.4277,0.06
12:48:30.272,1.4278,0.05
12:48:30.272,1.4279,0.06
12:48:30.309,1.4638,0.05
12:48:30.309,1.4639,0.06
12:48:30.309,1.4641,0.06
12:48:30.339,1.5033,0.07
12:48:30.339,1.5035,0.07
12:48:30.349,1.5036,0.06
12:48:30.349,1.5037,0.0
12:48:30.396,1.5532,8.0
12:48:30.396,1.5534,0.06
12:48:30.399,1.5536,0.07
12:48:30.399,1.5537,0.06
12:48:30.399,1.5538,0.06
12:48:30.436,1.5925,0.05
12:48:30.436,1.5927,0.06
12:48:30.436,1.5929,0.06
12:48:30.436,1.5929,0.0
12:48:30.468,1.6258,5.0
12:48:30.468,1.6260,0.06
12:48:30.468,1.6262,0.07
12:48:30.509,1.6635,0.07
12:48:30.509,1.6638,0.05
12:48:30.509,1.6640,0.06
12:48:30.509,1.6641,0.06
12:48:30.544,1.7005,0.05
12:48:30.544,1.7007,0.05
12:48:30.544,1.7008,0.06
12:48:30.579,1.7368,0.05
12:48:30.579,1.7369,0.06
12:48:30.579,1.7371,0.07
12:48:30.621,1.7757,0.06
12:48:30.621,1.7759,0.07
12:48:30.621,1.7760,0.06
12:48:30.621,1.7762,0.06
12:48:30.654,1.8086,0.06
12:48:30.654,1.8087,0.06
12:48:30.654,1.8088,0.05
12:48:30.689,1.8442,0.06
12:48:30.689,1.8443,0.06
12:48:30.689,1.8445,0.05
12:48:30.722,1.8777,0.06
12:48:30.722,1.8779,0.06
12:48:30.723,1.8780,0.05
12:48:30.759,1.9142,0.07
12:48:30.759,1.9144,0.06
12:48:30.759,1.9145,0.06
12:48:30.791,1.9494,0.05
12:48:30.791,1.9495,0.05
12:48:30.795,1.9497,0.06
12:48:30.827,1.9828,0.07
12:48:30.827,1.9829,0.07
12:48:30.827,1.9830,0.06
12:48:30.859,2.0151,0.05
12:48:30.859,2.0154,0.06
12:48:30.859,2.0156,0.06
12:48:30.895,2.0503,0.07
12:48:30.895,2.0504,0.05
12:48:30.895,2.0505,0.06
12:48:30.924,2.0824,0.06
12:48:30.924,2.0825,0.06
12:48:30.924,2.0826,0.06
12:48:30.959,2.1172,0.06
12:48:30.959,2.1174,0.04
12:48:30.959,2.1175,0.05
12:48:30.995,2.1509,0.05
12:48:30.995,2.1511,0.05
12:48:30.995,2.1512,0.06
12:48:31.029,2.1843,0.05
12:48:31.029,2.1845,0.05
12:48:31.029,2.1846,0.06
12:48:31.059,2.2184,0.06
12:48:31.064,2.2185,0.06
12:48:31.064,2.2187,0.05
12:48:31.102,2.2589,0.05
12:48:31.102,2.2591,0.07
12:48:31.102,2.2593,0.06
12:48:31.102,2.2595,0.06
12:48:31.141,2.2995,0.05
12:48:31.141,2.2996,0.07
12:48:31.141,2.2998,0.06
12:48:31.141,2.2998,0.06
12:48:31.179,2.3362,0.06
12:48:31.179,2.3363,0.06
12:48:31.179,2.3364,0.06
12:48:31.221,2.3763,0.07
12:48:31.221,2.3765,0.06
12:48:31.221,2.3766,0.05
12:48:31.259,2.4136,0.06
12:48:31.259,2.4138,0.06
12:48:31.259,2.4139,0.05
12:48:31.259,2.4140,0.05
12:48:31.290,2.4494,0.06
12:48:31.290,2.4496,0.06
12:48:31.290,2.4497,0.06
12:48:31.328,2.4839,0.06
12:48:31.328,2.4841,0.06
12:48:31.328,2.4842,0.06
12:48:31.368,2.5235,0.05
12:48:31.369,2.5238,0.06
12:48:31.369,2.5240,0.07
12:48:31.369,2.5242,0.06
12:48:31.401,2.5614,0.06
12:48:31.401,2.5616,0.05
12:48:31.401,2.5617,0.06
12:48:31.439,2.5968,0.05
12:48:31.439,2.5970,0.05
12:48:31.439,2.5971,0.07
12:48:31.476,2.6312,0.07
12:48:31.476,2.6314,0.06
12:48:31.476,2.6315,0.06
12:48:31.513,2.6695,0.06
12:48:31.513,2.6697,0.06
12:48:31.513,2.6698,0.06
12:48:31.552,2.7080,0.06
12:48:31.552,2.7083,0.06
12:48:31.552,2.7084,0.06
12:48:31.552,2.7085,0.06
12:48:31.592,2.7481,0.06
12:48:31.592,2.7483,0.05
12:48:31.594,2.7484,0.06
12:48:31.629,2.7837,0.06
12:48:31.629,2.7839,0.06
12:48:31.629,2.7840,0.06
12:48:31.629,2.7840,0.0
12:48:31.664,2.8193,0.07
12:48:31.664,2.8194,0.06
12:48:31.664,2.8195,0.05
12:48:31.664,2.8197,0.06
12:48:31.702,2.8565,0.06
12:48:31.702,2.8569,0.06
12:48:31.702,2.8572,0.06
12:48:31.739,2.8933,0.05
12:48:31.739,2.8935,0.06
12:48:31.739,2.8936,0.06
12:48:31.769,2.9279,0.06
12:48:31.769,2.9281,0.05
12:48:31.769,2.9283,0.06
12:48:31.809,2.9683,0.06
12:48:31.809,2.9685,0.07
12:48:31.809,2.9687,0.07
12:48:31.809,2.9688,0.06
12:48:31.850,3.0059,0.06
12:48:31.851,3.0061,0.06
12:48:31.851,3.0062,0.06
12:48:31.889,3.0442,0.05
12:48:31.889,3.0444,0.06
12:48:31.889,3.0445,0.06
12:48:31.889,3.0446,0.05
12:48:31.919,3.0794,0.06
12:48:31.919,3.0796,0.06
12:48:31.919,3.0797,0.06
12:48:31.959,3.1154,0.06
12:48:31.959,3.1156,0.06
12:48:31.959,3.1157,0.05
12:48:31.994,3.1506,0.05
12:48:31.994,3.1507,0.05
12:48:31.994,3.1509,0.06
12:48:32.029,3.1853,0.07
12:48:32.029,3.1855,0.06
12:48:32.029,3.1856,0.06
12:48:32.069,3.2240,0.06
12:48:32.069,3.2242,0.06
12:48:32.069,3.2243,0.05
12:48:32.070,3.2245,0.05
12:48:32.103,3.2582,0.05
12:48:32.104,3.2584,0.06
12:48:32.104,3.2585,0.06
12:48:32.138,3.2932,0.06
12:48:32.138,3.2933,0.06
12:48:32.138,3.2935,0.06
12:48:32.173,3.3280,0.05
12:48:32.173,3.3281,0.05
12:48:32.173,3.3282,0.06
12:48:32.204,3.3596,0.06
12:48:32.204,3.3598,0.06
12:48:32.205,3.3599,0.06
12:48:32.239,3.3937,0.06
12:48:32.239,3.3939,0.05
12:48:32.239,3.3940,0.06
12:48:32.272,3.4271,0.06
12:48:32.272,3.4272,0.06
12:48:32.272,3.4274,0.06
12:48:32.307,3.4623,0.05
12:48:32.307,3.4625,0.05
12:48:32.307,3.4626,0.06
12:48:32.340,3.4954,0.06
12:48:32.340,3.4956,0.06
12:48:32.340,3.4957,0.07
12:48:32.373,3.5285,0.05
12:48:32.374,3.5287,0.06
12:48:32.374,3.5288,0.05
12:48:32.406,3.5608,0.06
12:48:32.406,3.5610,0.06
12:48:32.406,3.5611,0.06
12:48:32.439,3.5949,0.05
12:48:32.439,3.5950,0.06
12:48:32.440,3.5952,0.06
12:48:32.473,3.6279,0.06
12:48:32.473,3.6281,0.04
12:48:32.473,3.6282,0.07
12:48:32.507,3.6617,0.06
12:48:32.507,3.6619,0.06
12:48:32.546,3.7029,0.07
12:48:32.546,3.7031,0.06
12:48:32.546,3.7032,0.06
12:48:32.546,3.7033,0.07
12:48:32.584,3.7396,0.06
12:48:32.584,3.7398,0.07
12:48:32.584,3.7399,0.06
12:48:32.619,3.7756,0.05
12:48:32.619,3.7758,0.06
12:48:32.619,3.7759,0.06
12:48:32.619,3.7761,0.06
12:48:32.659,3.8139,0.05
12:48:32.659,3.8140,0.06
12:48:32.659,3.8142,0.05
12:48:32.694,3.8503,0.06
12:48:32.694,3.8505,0.04
12:48:32.694,3.8506,0.06
12:48:32.729,3.8856,0.06
12:48:32.729,3.8857,0.0
12:48:32.729,3.8859,0.09
12:48:32.764,3.9207,0.06
12:48:32.764,3.9209,0.08
12:48:32.764,3.9210,0.05
12:48:32.764,3.9212,0.04
12:48:32.801,3.9595,0.06
12:48:32.801,3.9597,0.07
12:48:32.801,3.9598,0.06
12:48:32.839,3.9959,0.06
12:48:32.839,3.9960,0.07
12:48:32.839,3.9961,0.04
12:48:32.879,4.0347,0.06
