timestamp,elapsed_s,z
12:43:02.941,1.691,0.06
12:43:02.994,1.744,0.07
12:43:03.050,1.800,0.07
12:43:03.105,1.855,0.06
12:43:03.160,1.910,0.06
12:43:03.214,1.964,0.06
12:43:03.269,2.019,0.06
12:43:03.323,2.073,0.06
12:43:03.377,2.127,0.06
12:43:03.432,2.182,0.06
12:43:03.487,2.237,0.07
12:43:03.539,2.289,0.05
12:43:03.596,2.346,0.06
12:43:03.656,2.406,0.06
12:43:03.717,2.467,0.06
12:43:03.771,2.521,0.06
12:43:03.826,2.576,0.04
12:43:03.889,2.639,0.06
12:43:03.947,2.697,0.06
12:43:04.002,2.752,0.06
12:43:04.057,2.807,0.05
12:43:04.111,2.861,0.06
12:43:04.167,2.917,0.06
12:43:04.221,2.971,0.05
12:43:04.275,3.025,0.06
12:43:04.336,3.086,0.05
12:43:04.396,3.146,0.05
12:43:04.451,3.201,0.07
12:43:04.506,3.256,0.05
12:43:04.566,3.316,0.06
12:43:04.621,3.371,0.06
12:43:04.675,3.425,0.06
12:43:04.736,3.486,0.06
12:43:04.798,3.548,0.06
12:43:04.850,3.600,0.06
12:43:04.906,3.656,0.06
12:43:04.966,3.716,0.06
12:43:05.030,3.780,0.05
12:43:05.087,3.837,0.06
12:43:05.148,3.898,0.06
12:43:05.202,3.952,0.06
12:43:05.257,4.007,0.06
12:43:05.312,4.062,0.06
12:43:05.366,4.116,0.06
12:43:05.420,4.170,0.06
12:43:05.475,4.225,0.06
12:43:05.537,4.287,0.06
12:43:05.591,4.342,0.06
12:43:05.646,4.396,0.05
12:43:05.700,4.450,0.07
12:43:05.754,4.504,0.06
12:43:05.809,4.559,0.06
12:43:05.863,4.613,0.06
12:43:05.924,4.674,0.07
12:43:05.979,4.729,0.06
12:43:06.033,4.783,0.05
12:43:06.088,4.838,0.06
12:43:06.142,4.892,0.06
12:43:06.194,4.944,0.06
12:43:06.246,4.996,0.06
12:43:06.299,5.049,0.06
12:43:06.354,5.104,0.06
12:43:06.409,5.159,0.06
12:43:06.463,5.213,0.06
12:43:06.518,5.268,0.06
12:43:06.572,5.322,0.06
12:43:06.626,5.376,0.07
12:43:06.681,5.431,0.06
12:43:06.735,5.485,0.04
12:43:06.790,5.540,0.04
12:43:06.845,5.595,0.04
12:43:06.899,5.649,0.07
12:43:06.954,5.704,0.06
12:43:07.008,5.758,0.06
12:43:07.064,5.814,0.06
12:43:07.125,5.875,0.06
12:43:07.179,5.929,0.05
12:43:07.233,5.983,0.06
12:43:07.288,6.038,0.06
12:43:07.342,6.092,0.06
12:43:07.397,6.147,0.06
12:43:07.451,6.201,0.06
12:43:07.506,6.256,0.06
12:43:07.566,6.317,0.06
12:43:07.627,6.377,0.06
12:43:07.681,6.431,0.06
12:43:07.735,6.485,0.05
12:43:07.790,6.540,0.07
12:43:07.844,6.594,0.06
12:43:07.899,6.649,0.06
12:43:07.959,6.710,0.06
12:43:08.015,6.765,0.06
12:43:08.069,6.819,0.06
12:43:08.123,6.873,0.05
12:43:08.178,6.928,0.05
12:43:08.232,6.982,0.06
12:43:08.287,7.037,0.06
12:43:08.348,7.098,0.06
12:43:08.402,7.152,0.05
12:43:08.457,7.207,0.05
12:43:08.513,7.263,0.06
12:43:08.567,7.317,0.07
12:43:08.621,7.371,0.06
12:43:08.676,7.426,0.06
12:43:08.730,7.480,0.07
12:43:08.785,7.535,0.06
12:43:08.840,7.590,0.06
12:43:08.894,7.644,0.05
12:43:08.949,7.699,0.06
12:43:09.003,7.753,0.05
12:43:09.058,7.808,0.06
12:43:09.112,7.862,0.05
12:43:09.166,7.916,0.06
12:43:09.221,7.971,0.06
12:43:09.276,8.026,0.06
12:43:09.335,8.085,0.06
12:43:09.397,8.147,0.06
12:43:09.452,8.202,0.06
12:43:09.506,8.256,0.06
12:43:09.560,8.310,0.06
12:43:09.614,8.364,0.06
12:43:09.669,8.419,0.06
12:43:09.723,8.473,0.06
12:43:09.778,8.528,0.07
12:43:09.832,8.582,0.06
12:43:09.887,8.637,0.06
12:43:09.950,8.700,0.07
12:43:10.014,8.764,0.05
12:43:10.066,8.816,0.06
12:43:10.120,8.870,0.05
12:43:10.173,8.923,0.06
12:43:10.229,8.979,0.07
12:43:10.282,9.032,0.07
12:43:10.337,9.087,0.06
12:43:10.391,9.141,0.06
12:43:10.443,9.193,0.05
12:43:10.495,9.245,0.06
12:43:10.549,9.299,0.06
12:43:10.602,9.352,0.06
12:43:10.658,9.408,0.06
12:43:10.715,9.465,0.07
12:43:10.767,9.517,0.06
12:43:10.828,9.578,0.06
12:43:10.882,9.632,0.04
12:43:10.937,9.687,0.06
12:43:10.997,9.747,0.07
12:43:11.051,9.801,0.07
12:43:11.106,9.856,0.06
12:43:11.160,9.910,0.07
12:43:11.214,9.964,0.07
