timestamp,z
12:54:10.388,X Y Z Magnitude
12:54:10.392,0.29
12:54:10.398,1.00
12:54:10.412,-1.34
12:54:10.425,-1.07
12:54:10.433,-1.06
12:54:10.446,0.80
12:54:10.458,1.00
12:54:10.471,0.54
12:54:10.478,-0.62
12:54:10.491,0.80
12:54:10.502,0.72
12:54:10.515,-2.12
12:54:10.524,-0.56
12:54:10.536,-0.22
12:54:10.548,0.22
12:54:10.560,1.00
12:54:10.568,-1.20
12:54:10.581,-0.37
12:54:10.593,-0.43
12:54:10.605,1.00
12:54:10.613,0.08
12:54:10.626,-0.41
12:54:10.638,1.00
12:54:10.648,-1.99
12:54:10.658,0.08
12:54:10.671,-3.00
12:54:10.683,1.00
12:54:10.695,-2.01
12:54:10.703,1.00
12:54:10.716,-2.64
12:54:10.728,1.00
12:54:10.741,1.00
12:54:10.749,1.00
12:54:10.761,-1.60
12:54:10.774,0.72
12:54:10.786,-3.00
12:54:10.793,1.00
12:54:10.805,-1.83
12:54:10.818,0.52
12:54:10.829,-2.79
12:54:10.839,1.00
12:54:10.851,-0.60
12:54:10.860,1.00
12:54:10.875,-2.36
12:54:10.884,1.00
12:54:10.896,0.17
12:54:10.909,-1.30
12:54:10.921,-2.13
12:54:10.928,1.00
12:54:10.938,-1.65
12:54:10.954,1.00
12:54:10.966,0.69
12:54:10.974,1.00
12:54:10.986,1.00
12:54:10.999,-1.74
12:54:11.011,-0.08
12:54:11.019,1.00
12:54:11.031,-1.35
12:54:11.044,1.00
12:54:11.055,-0.86
12:54:11.064,1.00
12:54:11.076,1.00
12:54:11.089,1.00
12:54:11.101,-1.38
12:54:11.109,-1.50
12:54:11.122,0.42
12:54:11.134,-2.11
12:54:11.146,0.29
12:54:11.154,-2.25
12:54:11.166,1.00
12:54:11.179,-1.39
12:54:11.191,0.79
12:54:11.199,-0.36
12:54:11.211,1.00
12:54:11.224,1.00
12:54:11.236,-0.73
12:54:11.244,-2.45
12:54:11.256,-2.04
12:54:11.268,0.24
12:54:11.281,1.00
12:54:11.290,-1.24
12:54:11.301,-0.13
12:54:11.314,-0.00
12:54:11.326,1.00
12:54:11.335,0.35
12:54:11.347,1.00
12:54:11.359,-0.58
12:54:11.371,1.00
12:54:11.380,-1.91
12:54:11.392,1.00
12:54:11.405,-1.36
12:54:11.416,1.00
12:54:11.425,-0.30
12:54:11.437,0.91
12:54:11.449,0.57
12:54:11.461,-2.59
12:54:11.469,1.00
12:54:11.481,1.00
12:54:11.493,-0.36
12:54:11.506,1.00
12:54:11.515,-0.32
12:54:11.526,0.40
12:54:11.539,0.09
12:54:11.551,1.00
12:54:11.560,0.66
12:54:11.572,0.09
12:54:11.584,1.00
12:54:11.596,-2.55
12:54:11.605,0.45
12:54:11.614,-2.98
12:54:11.628,0.84
12:54:11.641,0.52
12:54:11.650,0.31
12:54:11.662,-1.16
12:54:11.675,1.00
12:54:11.685,-0.12
12:54:11.695,0.80
12:54:11.706,1.00
12:54:11.718,-2.24
12:54:11.732,-2.49
12:54:11.740,-0.03
12:54:11.752,-1.80
12:54:11.765,0.27
12:54:11.776,-1.34
12:54:11.785,1.00
12:54:11.797,-0.25
12:54:11.809,1.00
12:54:11.822,-2.02
12:54:11.830,1.00
12:54:11.842,1.00
12:54:11.855,0.43
12:54:11.867,-1.89
12:54:11.874,1.00
12:54:11.888,-0.88
12:54:11.899,1.00
12:54:11.912,0.93
12:54:11.918,1.00
12:54:11.929,0.27
12:54:11.941,1.00
12:54:11.953,0.08
12:54:11.965,1.00
12:54:11.978,-0.77
12:54:11.989,1.00
12:54:12.002,-0.16
12:54:12.010,1.00
12:54:12.022,-0.47
12:54:12.035,0.26
12:54:12.047,0.69
12:54:12.054,-0.98
12:54:12.068,0.48
12:54:12.078,-2.66
12:54:12.089,0.53
12:54:12.100,0.83
12:54:12.113,-1.06
12:54:12.125,-1.47
12:54:12.137,-0.98
12:54:12.145,1.00
12:54:12.158,0.40
12:54:12.170,0.43
12:54:12.182,0.78
12:54:12.191,-2.45
12:54:12.203,-0.23
12:54:12.215,-2.29
12:54:12.227,0.26
12:54:12.236,-1.14
12:54:12.248,1.00
12:54:12.260,-1.56
12:54:12.272,1.00
12:54:12.280,-0.11
12:54:12.293,1.00
12:54:12.305,1.00
12:54:12.317,-0.59
12:54:12.325,-1.31
12:54:12.338,1.00
12:54:12.350,-1.38
12:54:12.362,0.29
12:54:12.371,0.38
12:54:12.383,1.00
12:54:12.395,-1.80
12:54:12.408,1.00
12:54:12.416,-1.19
12:54:12.428,1.00
12:54:12.440,-1.07
12:54:12.453,1.00
12:54:12.460,-1.39
12:54:12.469,1.00
12:54:12.485,-0.99
12:54:12.496,0.94
12:54:12.506,0.67
12:54:12.518,-0.26
12:54:12.531,1.00
12:54:12.543,1.00
12:54:12.551,-0.34
12:54:12.563,1.00
12:54:12.575,-0.72
12:54:12.587,-0.73
12:54:12.596,-1.93
12:54:12.608,-0.52
12:54:12.621,0.35
12:54:12.632,0.49
12:54:12.641,-0.09
12:54:12.654,-0.76
12:54:12.665,0.43
12:54:12.678,-1.67
12:54:12.686,-0.11
12:54:12.698,-1.85
12:54:12.710,-0.21
12:54:12.723,-2.01
12:54:12.730,0.56
12:54:12.743,0.42
12:54:12.756,0.43
12:54:12.768,0.42
12:54:12.776,-0.09
12:54:12.788,1.00
12:54:12.801,1.00
12:54:12.813,-2.15
12:54:12.822,1.00
12:54:12.834,-1.25
12:54:12.846,1.00
12:54:12.858,-0.28
12:54:12.866,1.00
12:54:12.879,0.29
12:54:12.891,1.00
12:54:12.903,-1.83
12:54:12.910,1.00
12:54:12.924,-1.10
12:54:12.936,-1.76
12:54:12.948,-0.28
12:54:12.956,1.00
12:54:12.969,-1.11
12:54:12.981,0.15
12:54:12.994,1.00
12:54:13.001,-0.76
12:54:13.014,-0.32
12:54:13.026,-2.82
12:54:13.039,-0.39
12:54:13.046,-1.49
12:54:13.059,-1.48
12:54:13.069,1.00
12:54:13.084,0.66
12:54:13.092,1.00
12:54:13.104,1.00
12:54:13.116,-1.00
12:54:13.128,0.49
12:54:13.137,-1.61
