timestamp,elapsed_s,z
12:32:24.178,1.666,0.04
12:32:24.235,1.724,0.05
12:32:24.298,1.787,0.05
12:32:24.354,1.843,0.05
12:32:24.419,1.908,0.05
12:32:24.471,1.960,0.05
12:32:24.534,2.023,0.05
12:32:24.595,2.084,0.05
12:32:24.650,2.139,0.05
12:32:24.706,2.195,0.05
12:32:24.764,2.253,0.05
12:32:24.820,2.309,0.06
12:32:24.877,2.366,0.05
12:32:24.939,2.428,0.05
12:32:25.000,2.489,0.05
12:32:25.058,2.547,0.06
12:32:25.115,2.604,0.05
12:32:25.168,2.657,0.05
12:32:25.222,2.711,0.05
12:32:25.279,2.768,0.05
12:32:25.337,2.826,0.05
12:32:25.389,2.878,0.05
12:32:25.446,2.935,0.04
12:32:25.499,2.988,0.06
12:32:25.555,3.044,0.04
12:32:25.608,3.097,0.05
12:32:25.660,3.149,0.05
12:32:25.716,3.205,0.04
12:32:25.775,3.264,0.06
12:32:25.831,3.320,0.06
12:32:25.887,3.376,0.05
12:32:25.946,3.434,0.06
12:32:26.003,3.492,0.05
12:32:26.059,3.548,0.05
12:32:26.115,3.604,0.05
12:32:26.172,3.661,0.05
12:32:26.229,3.718,0.05
12:32:26.285,3.774,0.06
12:32:26.351,3.840,0.05
12:32:26.404,3.893,0.05
12:32:26.461,3.949,0.05
12:32:26.519,4.008,0.05
12:32:26.578,4.067,0.05
12:32:26.633,4.122,0.05
12:32:26.691,4.180,0.05
12:32:26.754,4.243,0.06
12:32:26.807,4.296,0.05
12:32:26.865,4.354,0.06
12:32:26.918,4.407,0.06
12:32:26.972,4.461,0.06
12:32:27.024,4.513,0.04
12:32:27.078,4.567,0.05
12:32:27.129,4.618,0.05
12:32:27.182,4.671,0.06
12:32:27.244,4.733,0.05
12:32:27.296,4.785,0.05
12:32:27.351,4.840,0.05
12:32:27.404,4.893,0.05
12:32:27.456,4.945,0.05
12:32:27.516,5.004,0.04
12:32:27.569,5.058,0.05
12:32:27.627,5.116,0.05
12:32:27.679,5.168,0.05
12:32:27.736,5.225,0.06
12:32:27.793,5.282,0.05
12:32:27.845,5.334,0.06
12:32:27.896,5.385,0.05
12:32:27.954,5.443,0.05
12:32:28.009,5.498,0.05
12:32:28.068,5.557,0.05
12:32:28.125,5.614,0.06
12:32:28.184,5.673,0.06
12:32:28.241,5.730,0.04
12:32:28.304,5.793,0.05
12:32:28.366,5.855,0.06
12:32:28.423,5.912,0.06
12:32:28.480,5.969,0.05
12:32:28.534,6.023,0.06
12:32:28.586,6.075,0.06
12:32:28.643,6.132,0.05
12:32:28.700,6.189,0.05
12:32:28.757,6.246,0.05
12:32:28.815,6.304,0.05
12:32:28.874,6.363,0.05
12:32:28.930,6.419,0.05
12:32:28.988,6.477,0.05
12:32:29.044,6.533,0.05
12:32:29.100,6.589,0.05
12:32:29.157,6.646,0.05
12:32:29.214,6.703,0.04
12:32:29.271,6.760,0.04
12:32:29.328,6.817,0.05
12:32:29.388,6.877,0.05
12:32:29.444,6.933,0.05
12:32:29.506,6.995,0.05
12:32:29.558,7.047,0.05
12:32:29.616,7.105,0.06
12:32:29.684,7.173,0.05
12:32:29.741,7.230,0.04
12:32:29.798,7.287,0.04
12:32:29.864,7.353,0.05
12:32:29.924,7.413,0.05
12:32:29.983,7.472,0.04
12:32:30.040,7.529,0.05
12:32:30.096,7.585,0.05
12:32:30.152,7.641,0.06
12:32:30.216,7.705,0.04
12:32:30.276,7.765,0.05
12:32:30.344,7.833,0.04
12:32:30.401,7.890,0.05
12:32:30.457,7.946,0.05
12:32:30.523,8.011,0.06
12:32:30.579,8.068,0.05
12:32:30.637,8.126,0.05
12:32:30.693,8.182,0.05
12:32:30.750,8.239,0.05
12:32:30.807,8.296,0.05
12:32:30.864,8.353,0.05
12:32:30.922,8.411,0.05
12:32:30.978,8.467,0.05
12:32:31.036,8.525,0.05
12:32:31.092,8.581,0.06
12:32:31.152,8.641,0.05
12:32:31.209,8.698,0.06
12:32:31.268,8.757,0.05
12:32:31.325,8.814,0.06
12:32:31.383,8.872,0.05
12:32:31.440,8.929,0.04
12:32:31.499,8.987,0.04
12:32:31.563,9.052,0.05
12:32:31.620,9.109,0.06
12:32:31.677,9.166,0.05
12:32:31.736,9.225,0.05
12:32:31.793,9.282,0.05
12:32:31.851,9.340,0.04
