timestamp,z
12:26:44.288,X Y Z Magnitude
12:26:44.291,0.05
12:26:44.300,0.05
12:26:44.312,0.05
12:26:44.324,0.07
12:26:44.333,0.05
12:26:44.345,0.05
12:26:44.357,0.05
12:26:44.369,0.06
12:26:44.377,0.05
12:26:44.390,0.06
12:26:44.402,0.05
12:26:44.414,0.06
12:26:44.422,0.05
12:26:44.434,0.05
12:26:44.447,0.05
12:26:44.459,0.05
12:26:44.468,0.06
12:26:44.480,0.06
12:26:44.492,0.04
12:26:44.504,0.04
12:26:44.512,0.05
12:26:44.525,0.06
12:26:44.537,0.05
12:26:44.549,0.05
12:26:44.558,0.06
12:26:44.570,0.05
12:26:44.582,0.05
12:26:44.595,0.05
12:26:44.603,0.05
12:26:44.614,0.05
12:26:44.627,0.05
12:26:44.637,0.05
12:26:44.648,0.06
12:26:44.660,0.05
12:26:44.672,0.05
12:26:44.684,0.05
12:26:44.692,0.05
12:26:44.704,0.06
12:26:44.716,0.06
12:26:44.730,0.05
12:26:44.734,0.05
12:26:44.750,0.05
12:26:44.763,0.05
12:26:44.775,0.05
12:26:44.783,0.05
12:26:44.794,0.06
12:26:44.807,0.05
12:26:44.820,0.06
12:26:44.825,0.05
12:26:44.837,0.05
12:26:44.849,0.05
12:26:44.864,0.06
12:26:44.873,0.05
12:26:44.885,0.06
12:26:44.897,0.05
12:26:44.909,0.06
12:26:44.916,0.04
12:26:44.928,0.06
12:26:44.942,0.05
12:26:44.954,0.05
12:26:44.963,0.05
12:26:44.976,0.05
12:26:44.988,0.05
12:26:44.995,0.04
12:26:45.007,0.05
12:26:45.021,0.05
12:26:45.032,0.05
12:26:45.041,0.06
12:26:45.053,0.05
12:26:45.065,0.05
12:26:45.078,0.05
12:26:45.086,0.05
12:26:45.097,0.05
12:26:45.111,0.04
12:26:45.123,0.04
12:26:45.131,0.04
12:26:45.143,0.05
12:26:45.156,0.05
12:26:45.165,0.06
12:26:45.176,0.05
12:26:45.189,0.04
12:26:45.201,0.04
12:26:45.213,0.05
12:26:45.221,0.05
12:26:45.231,0.05
12:26:45.245,0.06
12:26:45.255,0.05
12:26:45.267,0.06
12:26:45.278,0.05
12:26:45.290,0.05
12:26:45.303,0.04
12:26:45.311,0.05
12:26:45.323,0.05
12:26:45.334,0.05
12:26:45.347,0.05
12:26:45.356,0.05
12:26:45.369,0.05
12:26:45.381,0.04
12:26:45.392,0.05
12:26:45.402,0.05
12:26:45.414,0.05
12:26:45.426,0.05
12:26:45.438,0.05
12:26:45.447,0.05
12:26:45.459,0.05
12:26:45.471,0.05
12:26:45.483,0.05
12:26:45.491,0.05
12:26:45.504,0.05
12:26:45.514,0.06
12:26:45.528,0.05
12:26:45.537,0.04
12:26:45.549,0.05
12:26:45.562,0.05
12:26:45.573,0.05
12:26:45.582,0.05
12:26:45.594,0.05
