timestamp,elapsed_s,z
12:35:20.867,1.698,0.04
12:35:20.916,1.747,0.05
12:35:20.994,1.825,0.1
12:35:21.055,1.886,0.05
12:35:21.112,1.943,0.04
12:35:21.170,2.001,0.07
12:35:21.224,2.055,0.04
12:35:21.276,2.107,0.06
12:35:21.334,2.165,0.07
12:35:21.390,2.222,0.04
12:35:21.447,2.278,0.09
12:35:21.508,2.339,0.05
12:35:21.563,2.394,0.05
12:35:21.614,2.445,0.06
12:35:21.667,2.498,0.07
12:35:21.729,2.560,0.07
12:35:21.790,2.621,0.09
12:35:21.847,2.678,0.05
12:35:21.904,2.735,0.05
12:35:21.960,2.791,0.08
12:35:22.012,2.843,0.06
12:35:22.066,2.897,0.04
12:35:22.122,2.953,0.09
12:35:22.174,3.005,0.04
12:35:22.228,3.059,0.07
12:35:22.286,3.117,0.07
12:35:22.342,3.173,0.03
12:35:22.401,3.232,0.04
12:35:22.460,3.291,0.07
12:35:22.517,3.349,0.07
12:35:22.573,3.404,0.05
12:35:22.630,3.461,0.06
12:35:22.686,3.517,0.06
12:35:22.744,3.575,0.05
12:35:22.801,3.632,0.06
12:35:22.860,3.691,0.06
12:35:22.915,3.746,0.06
12:35:22.979,3.810,0.04
12:35:23.038,3.869,0.07
12:35:23.091,3.923,0.07
12:35:23.148,3.979,0.06
12:35:23.199,4.030,0.04
12:35:23.251,4.082,0.07
12:35:23.308,4.139,0.05
12:35:23.364,4.195,0.06
12:35:23.421,4.252,0.05
12:35:23.483,4.314,0.08
12:35:23.535,4.366,0.06
12:35:23.591,4.422,0.06
12:35:23.649,4.480,0.06
12:35:23.714,4.545,0.07
12:35:23.771,4.602,0.05
12:35:23.829,4.660,0.07
12:35:23.886,4.717,0.06
12:35:23.942,4.773,0.05
12:35:24.000,4.831,0.06
12:35:24.058,4.889,0.07
12:35:24.116,4.947,0.07
12:35:24.175,5.006,0.05
12:35:24.230,5.062,0.07
12:35:24.289,5.120,0.06
12:35:24.346,5.178,0.06
12:35:24.405,5.236,0.05
12:35:24.462,5.293,0.05
12:35:24.526,5.357,0.06
12:35:24.584,5.415,0.06
12:35:24.640,5.472,0.06
12:35:24.698,5.529,0.06
12:35:24.755,5.586,0.06
12:35:24.811,5.642,0.06
12:35:24.863,5.694,0.07
12:35:24.915,5.746,0.06
12:35:24.973,5.804,0.05
12:35:25.031,5.862,0.06
12:35:25.088,5.919,0.07
12:35:25.154,5.985,0.06
12:35:25.211,6.042,0.06
12:35:25.267,6.098,0.06
12:35:25.334,6.165,0.06
12:35:25.386,6.217,0.07
12:35:25.439,6.270,0.06
12:35:25.496,6.327,0.06
12:35:25.552,6.384,0.06
12:35:25.609,6.440,0.06
12:35:25.667,6.498,0.06
12:35:25.729,6.560,0.06
12:35:25.790,6.622,0.05
12:35:25.847,6.678,0.06
12:35:25.905,6.736,0.06
12:35:25.962,6.793,0.06
12:35:26.018,6.849,0.06
12:35:26.073,6.904,0.05
12:35:26.130,6.961,0.06
12:35:26.187,7.018,0.06
12:35:26.244,7.075,0.06
12:35:26.300,7.131,0.06
12:35:26.357,7.188,0.06
12:35:26.414,7.245,0.06
12:35:26.471,7.302,0.05
12:35:26.528,7.359,-0.74
12:35:26.586,7.417,0.11
12:35:26.646,7.478,-0.46
12:35:26.708,7.539,-0.43
12:35:26.761,7.592,-0.12
12:35:26.818,7.649,-0.8
12:35:26.877,7.708,0.55
12:35:26.934,7.765,-0.56
12:35:26.993,7.824,-1.04
12:35:27.050,7.881,0.29
12:35:27.106,7.937,1.0
12:35:27.162,7.994,1.0
12:35:27.228,8.060,-0.55
12:35:27.287,8.118,1.0
12:35:27.346,8.177,1.0
12:35:27.402,8.233,0.1
12:35:27.467,8.298,1.0
12:35:27.520,8.351,1.0
12:35:27.576,8.407,-0.37
12:35:27.628,8.459,1.0
12:35:27.680,8.511,-1.26
12:35:27.737,8.568,-1.93
12:35:27.794,8.625,0.54
12:35:27.851,8.682,0.85
12:35:27.907,8.738,-0.46
12:35:27.962,8.793,0.22
12:35:28.020,8.851,-2.32
12:35:28.079,8.910,-1.94
12:35:28.135,8.966,-1.87
12:35:28.193,9.024,-1.69
12:35:28.251,9.082,1.0
12:35:28.304,9.136,0.95
12:35:28.357,9.188,-0.03
12:35:28.423,9.254,-1.91
12:35:28.480,9.312,-3.0
12:35:28.537,9.368,0.69
12:35:28.594,9.425,1.0
12:35:28.645,9.476,-0.91
12:35:28.698,9.529,-0.43
12:35:28.756,9.587,1.0
12:35:28.823,9.654,-0.64
12:35:28.881,9.712,-0.52
12:35:28.938,9.769,-0.64
12:35:28.996,9.827,-0.7
12:35:29.051,9.882,0.94
12:35:29.108,9.939,-0.03
12:35:29.165,9.997,0.45
12:35:29.222,10.053,-0.41
12:35:29.283,10.114,-0.32
12:35:29.335,10.166,0.48
12:35:29.392,10.223,0.08
12:35:29.449,10.280,0.13
12:35:29.500,10.331,0.13
12:35:29.553,10.384,-0.36
12:35:29.611,10.442,-0.04
12:35:29.667,10.498,0.97
12:35:29.726,10.557,-0.26
12:35:29.784,10.615,0.44
12:35:29.838,10.670,-0.85
12:35:29.896,10.727,1.0
12:35:29.952,10.783,1.0
12:35:30.011,10.842,0.94
12:35:30.065,10.896,1.0
12:35:30.123,10.954,0.97
12:35:30.182,11.013,0.01
12:35:30.239,11.071,0.83
12:35:30.300,11.131,0.78
12:35:30.353,11.184,0.98
12:35:30.406,11.237,1.0
12:35:30.466,11.297,0.74
12:35:30.530,11.361,1.0
12:35:30.582,11.413,-3.0
12:35:30.639,11.470,-0.32
12:35:30.696,11.527,0.76
12:35:30.752,11.583,0.11
12:35:30.809,11.640,-0.34
12:35:30.866,11.697,-0.0
12:35:30.922,11.753,0.36
12:35:30.979,11.810,-0.08
12:35:31.037,11.868,-0.23
12:35:31.095,11.926,0.15
12:35:31.147,11.978,0.28
12:35:31.199,12.030,-0.06
12:35:31.257,12.088,-0.07
12:35:31.317,12.148,0.12
12:35:31.374,12.205,0.13
12:35:31.431,12.262,0.0
12:35:31.488,12.319,0.03
12:35:31.546,12.378,0.1
12:35:31.613,12.444,0.06
12:35:31.671,12.502,0.02
12:35:31.727,12.558,0.07
12:35:31.784,12.615,0.09
12:35:31.836,12.667,0.05
12:35:31.888,12.719,0.04
12:35:31.944,12.775,0.07
12:35:32.003,12.834,0.07
12:35:32.058,12.889,0.04
12:35:32.115,12.946,0.05
12:35:32.172,13.003,0.06
12:35:32.229,13.060,0.05
12:35:32.285,13.117,0.06
12:35:32.342,13.173,0.06
12:35:32.399,13.230,0.07
12:35:32.456,13.287,0.06
12:35:32.513,13.344,0.06
12:35:32.570,13.401,0.05
12:35:32.635,13.466,0.06
12:35:32.694,13.526,0.06
12:35:32.751,13.582,0.07
12:35:32.809,13.640,0.06
12:35:32.867,13.698,0.06
12:35:32.935,13.766,0.06
12:35:32.991,13.822,0.06
12:35:33.054,13.885,0.05
12:35:33.106,13.938,0.06
12:35:33.155,13.986,0.01
12:35:33.214,14.045,0.72
12:35:33.267,14.099,0.31
12:35:33.324,14.155,1.0
12:35:33.381,14.212,-0.14
12:35:33.438,14.269,1.0
12:35:33.497,14.328,-0.6
12:35:33.550,14.381,-0.94
12:35:33.612,14.443,-0.13
12:35:33.668,14.499,-0.79
12:35:33.724,14.555,0.73
12:35:33.782,14.613,0.19
12:35:33.838,14.669,0.28
12:35:33.895,14.726,-0.53
12:35:33.951,14.782,0.3
12:35:34.008,14.839,0.35
12:35:34.062,14.893,0.24
12:35:34.115,14.946,-0.59
12:35:34.180,15.011,0.64
12:35:34.240,15.071,1.0
12:35:34.304,15.135,-1.56
12:35:34.357,15.188,-1.04
12:35:34.412,15.243,-2.33
12:35:34.470,15.301,0.68
12:35:34.527,15.358,0.15
12:35:34.585,15.416,0.54
12:35:34.642,15.473,0.41
12:35:34.700,15.531,-1.04
12:35:34.757,15.588,0.05
12:35:34.818,15.649,-0.35
12:35:34.871,15.702,0.29
12:35:34.927,15.759,0.97
12:35:34.994,15.825,0.01
12:35:35.053,15.884,-0.37
12:35:35.110,15.941,-0.07
12:35:35.167,15.998,0.09
12:35:35.225,16.056,-0.33
12:35:35.281,16.112,1.0
12:35:35.337,16.169,0.46
12:35:35.394,16.225,1.0
12:35:35.451,16.282,1.0
12:35:35.508,16.339,1.0
12:35:35.573,16.404,1.0
12:35:35.632,16.463,-0.0
12:35:35.689,16.520,0.17
12:35:35.744,16.576,0.29
12:35:35.802,16.633,-0.17
12:35:35.864,16.695,0.32
12:35:35.916,16.747,0.24
12:35:35.973,16.804,-0.52
12:35:36.028,16.859,-0.6
12:35:36.085,16.916,0.21
12:35:36.142,16.973,-3.0
12:35:36.198,17.029,0.1
12:35:36.264,17.095,-0.08
12:35:36.321,17.152,1.0
12:35:36.379,17.210,1.0
12:35:36.435,17.267,-2.7
12:35:36.493,17.324,-2.9
12:35:36.548,17.379,1.0
12:35:36.600,17.431,-1.87
12:35:36.661,17.492,-0.99
12:35:36.718,17.549,-0.63
12:35:36.775,17.606,-0.84
12:35:36.831,17.662,0.74
12:35:36.888,17.719,-0.1
12:35:36.946,17.777,-0.26
12:35:37.001,17.832,0.93
12:35:37.055,17.886,0.7
12:35:37.113,17.945,-0.06
12:35:37.173,18.004,0.15
12:35:37.231,18.062,-0.0
12:35:37.288,18.119,0.08
12:35:37.340,18.171,0.02
12:35:37.400,18.232,0.05
12:35:37.457,18.288,0.07
12:35:37.525,18.356,0.07
12:35:37.582,18.413,0.05
12:35:37.644,18.476,0.07
12:35:37.697,18.528,0.06
12:35:37.752,18.583,0.08
12:35:37.809,18.640,-2.7
12:35:37.867,18.698,-1.08
12:35:37.923,18.754,-0.28
12:35:37.979,18.810,0.37
12:35:38.036,18.867,0.29
12:35:38.094,18.925,-0.12
12:35:38.151,18.982,-0.34
12:35:38.208,19.039,-0.04
12:35:38.264,19.095,-0.42
12:35:38.321,19.152,-0.14
12:35:38.378,19.209,0.15
12:35:38.435,19.266,-3.0
12:35:38.491,19.322,-1.27
12:35:38.548,19.379,1.0
12:35:38.604,19.435,-1.31
12:35:38.662,19.493,0.41
12:35:38.719,19.550,1.0
12:35:38.775,19.606,1.0
12:35:38.833,19.665,-2.52
12:35:38.890,19.721,0.84
12:35:38.947,19.778,0.68
12:35:39.004,19.835,-0.33
12:35:39.063,19.894,-0.63
12:35:39.120,19.951,0.13
12:35:39.177,20.008,0.81
12:35:39.245,20.076,-0.14
12:35:39.310,20.141,0.31
12:35:39.363,20.194,-0.59
12:35:39.430,20.261,0.54
12:35:39.488,20.320,-0.24
12:35:39.544,20.375,1.0
12:35:39.601,20.432,1.0
12:35:39.658,20.489,-0.36
12:35:39.714,20.545,0.17
12:35:39.771,20.602,0.18
12:35:39.828,20.659,0.1
12:35:39.885,20.716,0.09
12:35:39.944,20.775,0.04
12:35:40.000,20.831,0.05
12:35:40.058,20.889,0.06
