timestamp,elapsed_s,z
12:30:11.207,1.746,0.05
12:30:11.260,1.799,0.05
12:30:11.317,1.856,0.05
12:30:11.369,1.908,0.05
12:30:11.423,1.961,0.05
12:30:11.476,2.015,0.05
12:30:11.530,2.069,0.05
12:30:11.585,2.123,0.05
12:30:11.639,2.177,0.05
12:30:11.693,2.232,0.05
12:30:11.748,2.287,0.06
12:30:11.798,2.337,0.05
12:30:11.851,2.390,0.05
12:30:11.906,2.445,0.05
12:30:11.960,2.499,0.05
12:30:12.014,2.553,0.05
12:30:12.068,2.607,0.05
12:30:12.135,2.674,0.05
12:30:12.192,2.731,0.06
12:30:12.252,2.790,0.04
12:30:12.306,2.845,0.06
12:30:12.366,2.905,0.04
12:30:12.423,2.961,0.05
12:30:12.493,3.032,0.05
12:30:12.549,3.088,0.05
12:30:12.602,3.141,0.05
12:30:12.655,3.193,0.06
12:30:12.708,3.247,0.05
12:30:12.764,3.303,0.06
12:30:12.821,3.360,0.05
12:30:12.878,3.417,0.05
12:30:12.940,3.479,0.05
12:30:12.993,3.532,0.06
12:30:13.045,3.583,0.05
12:30:13.106,3.645,0.04
12:30:13.163,3.702,0.05
12:30:13.223,3.762,0.05
12:30:13.276,3.815,0.05
12:30:13.328,3.867,0.05
12:30:13.384,3.923,0.06
12:30:13.442,3.981,0.05
12:30:13.496,4.035,0.05
12:30:13.550,4.089,0.05
12:30:13.601,4.140,0.05
12:30:13.657,4.196,0.05
12:30:13.710,4.249,0.05
12:30:13.763,4.302,0.05
12:30:13.822,4.361,0.05
12:30:13.878,4.416,0.05
12:30:13.945,4.483,0.06
12:30:14.001,4.540,0.04
12:30:14.052,4.591,0.05
12:30:14.112,4.651,0.05
12:30:14.170,4.708,0.06
12:30:14.223,4.762,0.05
12:30:14.283,4.822,0.05
12:30:14.335,4.873,0.06
12:30:14.392,4.930,0.05
12:30:14.444,4.982,0.06
12:30:14.501,5.040,0.05
12:30:14.549,5.088,0.06
12:30:14.606,5.145,0.05
12:30:14.656,5.195,0.05
12:30:14.719,5.258,0.06
12:30:14.778,5.317,0.05
